InventoryId,Sum of BeginOnHand,Sum of EndOnHand,LowInvFlag,Sum of Purch_Agg.TotalPurchase$,Sum of Purch_Agg.TotalPurchaseQty,Sum of Sales_Agg.TotalSales$,Sum of Sales_Agg.TotalSalesQty,Purch_Agg.AvgPurchasePrice,Inventory Variance
10_HORNSEY_3635,0,9,1,451.68,48,0,0,9.41,9
10_HORNSEY_3636,16,11,0,2585.42,514,783.88,112,5.03,-5
10_HORNSEY_3637,40,213,0,6395.16,1644,1095.03,207,3.89,173
10_HORNSEY_36378,57,71,0,4070.68,596,835.24,76,6.83,14
10_HORNSEY_3638,0,105,0,539.25,719,0,0,0.75,105
10_HORNSEY_36383,0,0,1,338.04,36,0,0,9.39,0
10_HORNSEY_3640,2,5,1,595.44,36,39.98,2,16.54,3
10_HORNSEY_36419,10,13,0,78.36,12,79.92,8,6.53,3
10_HORNSEY_3643,20,9,1,1179.63,153,83.92,8,7.71,-11
10_HORNSEY_36473,10,9,1,100.56,12,13.99,1,8.38,-1
10_HORNSEY_36483,22,22,0,239.94,6,0,0,39.99,0
10_HORNSEY_3650,69,92,0,46860.66,1386,10807.81,219,33.81,23
10_HORNSEY_3651,59,29,0,205.1,70,87.78,22,2.93,-30
10_HORNSEY_36510,4,3,1,94.68,12,23.98,2,7.89,-1
10_HORNSEY_36511,11,5,1,190.56,24,0,0,7.94,-6
10_HORNSEY_3652,20,12,0,2002.87,53,56.99,1,37.79,-8
10_HORNSEY_36523,61,42,0,610.06,59,224.85,15,10.34,-19
10_HORNSEY_36524,50,14,0,607.8,60,29.98,2,10.13,-36
10_HORNSEY_36539,0,2,1,122.59,23,0,0,5.33,2
10_HORNSEY_3654,27,71,0,3742.05,95,435.92,8,39.39,44
10_HORNSEY_36558,10,13,0,519.48,78,61.94,6,6.66,3
10_HORNSEY_3656,45,27,0,3018.49,151,581.78,22,19.99,-18
10_HORNSEY_36570,8,4,1,,,64.99,1,,-4
10_HORNSEY_36573,0,34,0,405,36,0,0,11.25,34
10_HORNSEY_3658,8,33,0,3561.5,85,535.91,9,41.9,25
10_HORNSEY_3660,0,5,1,1241.95,59,0,0,21.05,5
10_HORNSEY_36620,6,9,1,131.4,12,0,0,10.95,3
10_HORNSEY_36623,11,9,1,,,0,0,,-2
10_HORNSEY_3663,11,5,1,1764.64,164,447.68,32,10.76,-6
10_HORNSEY_36648,10,13,0,470.16,12,61.99,1,39.18,3
10_HORNSEY_3667,17,16,0,1142.31,87,233.88,12,13.13,-1
10_HORNSEY_3668,33,22,0,4503.84,132,945.78,22,34.12,-11
10_HORNSEY_3671,0,3,1,184.8,120,0,0,1.54,3
10_HORNSEY_36750,15,16,0,344.88,72,126.82,18,4.79,1
10_HORNSEY_3676,0,8,1,372,12,0,0,31,8
10_HORNSEY_36770,48,42,0,2525.56,412,308.53,23,6.13,-6
10_HORNSEY_36771,32,47,0,1808.91,303,275.64,20,5.97,15
10_HORNSEY_3679,9,9,1,1086.75,75,131.94,6,14.49,0
10_HORNSEY_3680,54,28,0,4524.27,239,845.68,32,18.93,-26
10_HORNSEY_3682,2,21,0,6164.2,370,509.78,22,16.66,19
10_HORNSEY_3683,0,13,0,2818.38,214,537.72,28,13.17,13
10_HORNSEY_3684,40,52,0,7265.28,946,1563.97,153,7.68,12
10_HORNSEY_36843,6,9,1,405,36,0,0,11.25,3
10_HORNSEY_36859,5,11,0,158.88,24,0,0,6.62,6
10_HORNSEY_3687,25,96,0,4162.56,1084,656.73,127,3.84,71
10_HORNSEY_36874,23,28,0,384.29,83,161.78,22,4.63,5
10_HORNSEY_3689,14,16,0,3831,300,624.67,33,12.77,2
10_HORNSEY_3690,12,16,0,1343.4,60,319.89,11,22.39,4
10_HORNSEY_3693,13,27,0,1491.12,171,156.87,13,8.72,14
10_HORNSEY_3694,11,12,0,6564.76,487,1674.12,88,13.48,1
10_HORNSEY_3695,9,12,0,629.76,82,117.9,10,7.68,3
10_HORNSEY_3696,32,36,0,4195.2,552,955.11,89,7.6,4
10_HORNSEY_3699,30,10,1,1550,50,879.78,22,31,-20
10_HORNSEY_36991,21,21,0,86.16,12,0,0,7.18,0
10_HORNSEY_36992,0,60,0,834.98,83,0,0,10.06,60
10_HORNSEY_3702,41,0,1,186.73,263,114.84,116,0.71,-41
10_HORNSEY_3704,26,86,0,7458.22,406,1375.48,52,18.37,60
10_HORNSEY_3706,51,69,0,2770.84,212,356.79,21,13.07,18
10_HORNSEY_37071,13,16,0,416.16,36,62.97,3,11.56,3
10_HORNSEY_37083,19,20,0,90.12,12,11.49,1,7.51,1
10_HORNSEY_3709,0,15,0,757.44,72,0,0,10.52,15
10_HORNSEY_37121,24,6,1,200.56,23,90.93,7,8.72,-18
10_HORNSEY_37126,24,16,0,,,17.99,1,,-8
10_HORNSEY_37158,14,12,0,101.88,12,38.97,3,8.49,-2
10_HORNSEY_3716,8,2,1,128.52,6,69.98,2,21.42,-6
10_HORNSEY_37235,38,11,0,,,0,0,,-27
10_HORNSEY_3724,58,20,0,3889.96,316,989.45,55,12.31,-38
10_HORNSEY_37249,0,10,1,116.76,12,0,0,9.73,10
10_HORNSEY_3725,18,12,0,1234.2,132,251.82,18,9.35,-6
10_HORNSEY_3726,25,162,0,6410.88,1696,1201.6,240,3.78,137
10_HORNSEY_3727,28,95,0,696.78,474,61.69,31,1.47,67
10_HORNSEY_3728,58,21,0,7401.63,391,1959.23,77,18.93,-37
10_HORNSEY_3731,17,14,0,802.8,60,233.87,13,13.38,-3
10_HORNSEY_37311,20,22,0,165.36,24,39.96,4,6.89,2
10_HORNSEY_37312,58,41,0,479.4,60,157.89,11,7.99,-17
10_HORNSEY_37313,66,55,0,303.75,45,21.98,2,6.75,-11
10_HORNSEY_3733,6,3,1,4281.96,51,829.93,7,83.96,-3
10_HORNSEY_3736,15,2,1,2074.6,253,438.63,37,8.2,-13
10_HORNSEY_37401,18,45,0,441.84,84,17.98,2,5.26,27
10_HORNSEY_37420,0,44,0,718.8,60,0,0,11.98,44
10_HORNSEY_3743,24,15,0,593.48,74,168.85,15,8.02,-9
10_HORNSEY_37433,31,18,0,427.68,99,89.91,9,4.32,-13
10_HORNSEY_37435,31,12,0,,,0,0,,-19
10_HORNSEY_3745,57,29,0,2535.82,826,508.98,102,3.07,-28
10_HORNSEY_3746,33,53,0,5188.68,609,1169.1,90,8.52,20
10_HORNSEY_37527,7,8,1,129.24,18,21.98,2,7.18,1
10_HORNSEY_3754,4,14,0,2777.64,316,397.66,34,8.79,10
10_HORNSEY_37541,18,15,0,230.04,12,52.99,1,19.17,-3
10_HORNSEY_37542,13,5,1,,,29.99,1,,-8
10_HORNSEY_3755,45,19,0,48.08,4,31.98,2,12.02,-26
10_HORNSEY_37568,2,2,1,,,0,0,,0
10_HORNSEY_3758,10,6,1,671.14,46,45.98,2,14.59,-4
10_HORNSEY_376,11,29,0,1479.66,78,202.93,7,18.97,18
10_HORNSEY_3760,13,11,0,1436.35,115,233.87,13,12.49,-2
10_HORNSEY_37601,3,3,1,165.6,18,111.92,8,9.2,0
10_HORNSEY_37604,6,4,1,259.28,28,125.91,9,9.26,-2
10_HORNSEY_37607,3,6,1,169.02,18,41.97,3,9.39,3
10_HORNSEY_3761,1,9,1,8364.32,244,47.99,1,34.28,8
10_HORNSEY_3762,46,18,0,553.2,120,203.66,34,4.61,-28
10_HORNSEY_3763,11,5,1,912.6,45,179.94,6,20.28,-6
10_HORNSEY_3764,26,11,0,498.24,24,347.88,12,20.76,-15
10_HORNSEY_3765,0,17,0,665.27,71,0,0,9.37,17
10_HORNSEY_37656,9,13,0,1729.28,128,179.91,9,13.51,4
10_HORNSEY_37657,18,22,0,437.76,36,53.97,3,12.16,4
10_HORNSEY_3766,72,29,0,5404.3,578,1227.06,94,9.35,-43
10_HORNSEY_37678,17,20,0,228.55,35,109.9,10,6.53,3
10_HORNSEY_3768,29,19,0,3764.8,1040,1164.01,199,3.62,-10
10_HORNSEY_3769,34,63,0,7139.34,1017,1713.22,178,7.02,29
10_HORNSEY_377,0,0,1,822.15,29,0,0,28.35,0
10_HORNSEY_3773,2,14,0,651.9,30,32.99,1,21.73,12
10_HORNSEY_37731,17,23,0,582.9,87,150.87,13,6.7,6
10_HORNSEY_37735,6,6,1,1076.36,142,274.75,25,7.58,0
10_HORNSEY_3776,45,54,0,7628.16,411,1134.57,43,18.56,9
10_HORNSEY_37785,3,6,1,197.04,24,0,0,8.21,3
10_HORNSEY_37786,57,22,0,277.35,43,161.82,18,6.45,-35
10_HORNSEY_3779,73,21,0,3291.2,352,1004.23,77,9.35,-52
10_HORNSEY_37792,27,31,0,217.61,47,0,0,4.63,4
10_HORNSEY_3780,50,19,0,1412.47,137,363.72,28,10.31,-31
10_HORNSEY_3781,46,53,0,2183.15,235,510.59,41,9.29,7
10_HORNSEY_37817,9,1,1,,,0,0,,-8
10_HORNSEY_3782,49,4,1,1548.98,82,815.66,34,18.89,-45
10_HORNSEY_37821,12,9,1,354.2,77,41.94,6,4.6,-3
10_HORNSEY_37822,34,26,0,140.64,12,16.99,1,11.72,-8
10_HORNSEY_37826,15,20,0,167.76,36,85.88,12,4.66,5
10_HORNSEY_37827,8,8,1,123.6,24,55.93,7,5.15,0
10_HORNSEY_37828,6,11,0,699.3,105,49.96,4,6.66,5
10_HORNSEY_3784,0,4,1,575.91,79,59.95,5,7.29,4
10_HORNSEY_37840,22,18,0,507.6,94,175.78,22,5.4,-4
10_HORNSEY_3787,14,21,0,4472.2,379,1078.31,69,11.8,7
10_HORNSEY_37878,0,11,0,248.16,12,0,0,20.68,11
10_HORNSEY_3788,1,1,1,7816.09,391,1119.6,40,19.99,0
10_HORNSEY_3790,3,15,0,4527.55,127,573.88,12,35.65,12
10_HORNSEY_37904,23,19,0,657.9,102,240.81,19,6.45,-4
10_HORNSEY_3791,14,4,1,1587.52,242,296.73,27,6.56,-10
10_HORNSEY_37923,7,9,1,89.16,12,23.98,2,7.43,2
10_HORNSEY_37926,13,15,0,611.8,76,155.87,13,8.05,2
10_HORNSEY_3794,2,7,1,1166.34,42,119.97,3,27.77,5
10_HORNSEY_3797,18,8,1,306.48,24,33.98,2,12.77,-10
10_HORNSEY_3798,0,85,0,25997.13,1311,6070.67,233,19.83,85
10_HORNSEY_37984,2,10,1,348.68,46,109.9,10,7.58,8
10_HORNSEY_3799,0,6,1,167.94,6,0,0,27.99,6
10_HORNSEY_3800,5,16,0,3813.65,89,669.88,12,42.85,11
10_HORNSEY_38011,24,15,0,77.4,12,142.87,13,6.45,-9
10_HORNSEY_3802,111,220,0,20158.43,1501,4969.24,276,13.43,109
10_HORNSEY_3804,9,48,0,9148.37,1199,1901.1,190,7.63,39
10_HORNSEY_3805,74,26,0,268.56,24,142.91,9,11.19,-48
10_HORNSEY_3806,0,6,1,649.23,67,0,0,9.69,6
10_HORNSEY_3808,20,52,0,3552.6,372,874.33,67,9.55,32
10_HORNSEY_381,1,61,0,3291.5,227,19.99,1,14.5,60
10_HORNSEY_38131,14,18,0,328.32,48,125.88,12,6.84,4
10_HORNSEY_38133,88,53,0,513.52,131,229.69,31,3.92,-35
10_HORNSEY_3815,13,13,0,258.36,12,27.99,1,21.53,0
10_HORNSEY_38178,16,13,0,392.35,95,147.76,24,4.13,-3
10_HORNSEY_38179,15,12,0,251.93,61,41.93,7,4.13,-3
10_HORNSEY_3818,0,0,1,4063.51,187,918.73,27,21.73,0
10_HORNSEY_38180,11,1,1,186.59,47,65.89,11,3.97,-10
10_HORNSEY_38181,21,20,0,190.56,48,79.87,13,3.97,-1
10_HORNSEY_38197,10,12,0,193.2,24,61.95,5,8.05,2
10_HORNSEY_38198,14,13,0,81.6,12,10.99,1,6.8,-1
10_HORNSEY_3820,16,34,0,1066.4,80,161.92,8,13.33,18
10_HORNSEY_3821,14,12,0,2755.2,336,408.65,35,8.2,-2
10_HORNSEY_3826,71,271,0,16747.36,1064,1964.1,90,15.74,200
10_HORNSEY_3827,23,42,0,3173.76,342,688.47,53,9.28,19
10_HORNSEY_3830,52,11,0,516.6,28,287.88,12,18.45,-41
10_HORNSEY_3831,5,77,0,641.58,222,91.77,23,2.89,72
10_HORNSEY_38322,6,12,0,397.2,60,119.9,10,6.62,6
10_HORNSEY_3834,89,49,0,5053.62,494,1609.89,111,10.23,-40
10_HORNSEY_38348,11,8,1,111.12,12,69.95,5,9.26,-3
10_HORNSEY_3835,19,6,1,3222.6,393,698.41,59,8.2,-13
10_HORNSEY_3836,4,23,0,1020.39,129,202.83,17,7.91,19
10_HORNSEY_38369,91,79,0,216,24,15.99,1,9,-12
10_HORNSEY_3837,160,212,0,3147.12,4371,639.54,646,0.72,52
10_HORNSEY_38370,21,23,0,1799.07,273,260.79,21,6.59,2
10_HORNSEY_384,4,3,1,492.12,9,299.96,4,54.68,-1
10_HORNSEY_3840,3,30,0,4878.21,339,656.68,32,14.39,27
10_HORNSEY_38406,4,10,1,1019.2,65,57.98,2,15.68,6
10_HORNSEY_3841,0,10,1,363.36,24,0,0,15.14,10
10_HORNSEY_38441,20,21,0,489.1,73,75.94,6,6.7,1
10_HORNSEY_38457,31,45,0,940.95,205,170.59,21,4.59,14
10_HORNSEY_3847,110,109,0,1618.56,576,418.95,105,2.81,-1
10_HORNSEY_38476,18,13,0,381.36,24,177.93,7,15.89,-5
10_HORNSEY_38483,12,15,0,332.58,46,54.95,5,7.23,3
10_HORNSEY_38502,11,18,0,543.83,119,83.91,9,4.57,7
10_HORNSEY_3851,24,39,0,5781.62,481,975.39,61,12.02,15
10_HORNSEY_38541,13,16,0,239.8,20,59.97,3,11.99,3
10_HORNSEY_38542,21,16,0,143.6,20,65.94,6,7.18,-5
10_HORNSEY_38546,92,67,0,2980.34,589,1024.98,102,5.06,-25
10_HORNSEY_38549,39,22,0,231.36,48,88.9,10,4.82,-17
10_HORNSEY_3857,107,40,0,23115.08,604,4866.15,85,38.27,-67
10_HORNSEY_3858,203,302,0,63900.92,3596,8412.5,350,17.77,99
10_HORNSEY_3859,88,86,0,3963.42,582,791.12,88,6.81,-2
10_HORNSEY_3863,11,22,0,1720.5,111,284.87,13,15.5,11
10_HORNSEY_38644,10,3,1,479.25,71,76.93,7,6.75,-7
10_HORNSEY_38651,17,22,0,257.52,24,143.91,9,10.73,5
10_HORNSEY_38652,75,42,0,13.65,1,105.55,5,13.65,-33
10_HORNSEY_38668,0,8,1,467.28,36,0,0,12.98,8
10_HORNSEY_3868,36,27,0,1202.04,252,545.16,84,4.77,-9
10_HORNSEY_38681,60,32,0,22.06,2,373.78,22,11.03,-28
10_HORNSEY_3870,4,8,1,1176.84,42,776.79,21,28.02,4
10_HORNSEY_3871,3,31,0,3321,405,669.44,56,8.2,28
10_HORNSEY_3872,0,11,0,207.72,12,0,0,17.31,11
10_HORNSEY_3875,0,8,1,979.45,95,0,0,10.31,8
10_HORNSEY_3876,265,1,1,11704.05,839,4284.77,223,13.95,-264
10_HORNSEY_3877,10,12,0,1868.4,216,489.6,40,8.65,2
10_HORNSEY_38771,7,3,1,136.8,12,0,0,11.4,-4
10_HORNSEY_38772,93,70,0,526.08,48,169.9,10,10.96,-23
10_HORNSEY_3878,100,43,0,9615.68,1208,3738.86,314,7.96,-57
10_HORNSEY_3879,80,95,0,7031.99,889,1388.8,120,7.91,15
10_HORNSEY_388,40,75,0,3229.03,283,724.5,50,11.41,35
10_HORNSEY_3880,0,31,0,1105.44,94,0,0,11.76,31
10_HORNSEY_3881,0,0,1,,,0,0,,0
10_HORNSEY_3882,17,14,0,3023.76,344,640.45,55,8.79,-3
10_HORNSEY_38822,21,20,0,,,0,0,,-1
10_HORNSEY_3883,4,1,1,1805.31,117,336.85,15,15.43,-3
10_HORNSEY_3884,8,2,1,,,0,0,,-6
10_HORNSEY_38850,5,10,1,1041.6,224,619.78,82,4.65,5
10_HORNSEY_38859,6,0,1,519.36,16,59.99,1,32.46,-6
10_HORNSEY_38888,100,74,0,202.56,12,207.93,7,16.88,-26
10_HORNSEY_38897,0,4,1,110.94,6,0,0,18.49,4
10_HORNSEY_38898,17,21,0,724.68,36,149.95,5,20.13,4
10_HORNSEY_38899,47,45,0,2052.96,282,383.72,28,7.28,-2
10_HORNSEY_3890,7,6,1,906.48,72,287.84,16,12.59,-1
10_HORNSEY_3893,178,290,0,16193.06,2042,3676.32,368,7.93,112
10_HORNSEY_3894,23,19,0,3250.64,358,880.35,65,9.08,-4
10_HORNSEY_38946,8,9,1,1347.19,241,321.66,34,5.59,1
10_HORNSEY_38950,4,17,0,163.2,24,59.95,5,6.8,13
10_HORNSEY_38952,0,10,1,122.4,12,0,0,10.2,10
10_HORNSEY_3896,91,256,0,6795.92,2584,1342.32,408,2.63,165
10_HORNSEY_3899,103,96,0,3029.4,1377,937.65,235,2.2,-7
10_HORNSEY_3904,0,105,0,423.16,596,0,0,0.71,105
10_HORNSEY_3905,0,36,0,1268.52,66,0,0,19.22,36
10_HORNSEY_39087,9,10,1,2044.62,307,558.53,47,6.66,1
10_HORNSEY_3910,9,14,0,1856.4,210,367.2,30,8.84,5
10_HORNSEY_39110,4,14,0,285.12,36,68.94,6,7.92,10
10_HORNSEY_3913,175,140,0,10067.4,705,1347.29,71,14.28,-35
10_HORNSEY_39146,6,6,1,600.76,92,229.82,18,6.53,0
10_HORNSEY_3915,8,16,0,2407.92,254,515.62,38,9.48,8
10_HORNSEY_3918,6,6,1,628.33,19,179.96,4,33.07,0
10_HORNSEY_3919,24,4,1,1199.9,142,394.17,33,8.45,-20
10_HORNSEY_3921,4,0,1,1270.9,71,188.93,7,17.9,-4
10_HORNSEY_39219,21,24,0,108.96,12,29.98,2,9.08,3
10_HORNSEY_3923,7,7,1,3615.56,34,669.95,5,106.34,0
10_HORNSEY_3924,10,8,1,2902.46,167,752.72,28,17.38,-2
10_HORNSEY_3925,5,18,0,2196.46,58,513.9,10,37.87,13
10_HORNSEY_39254,18,31,0,414,60,126.89,11,6.9,13
10_HORNSEY_39256,24,29,0,614.04,119,191.84,16,5.16,5
10_HORNSEY_3929,14,8,1,186.9,6,42.99,1,31.15,-6
10_HORNSEY_39335,89,48,0,3018.75,345,1274.15,85,8.75,-41
10_HORNSEY_39348,78,12,0,156,24,204.82,18,6.5,-66
10_HORNSEY_39356,6,4,1,612.68,53,201.89,11,11.56,-2
10_HORNSEY_39357,7,3,1,203.94,18,83.96,4,11.33,-4
10_HORNSEY_3936,8,13,0,3133.26,206,678.71,29,15.21,5
10_HORNSEY_3938,21,31,0,4733.71,379,1207.36,64,12.49,10
10_HORNSEY_39384,84,34,0,860.16,96,443.51,33,8.96,-50
10_HORNSEY_3939,13,11,0,135.3,6,59.98,2,22.55,-2
10_HORNSEY_39400,0,5,1,316.08,12,0,0,26.34,5
10_HORNSEY_3941,3,5,1,645.92,22,310.92,8,29.36,2
10_HORNSEY_39410,11,7,1,146.88,24,49.95,5,6.12,-4
10_HORNSEY_39411,20,18,0,689.12,118,419.58,42,5.84,-2
10_HORNSEY_39412,12,9,1,282.24,48,19.98,2,5.88,-3
10_HORNSEY_39413,20,17,0,850.08,168,404.55,45,5.06,-3
10_HORNSEY_3944,4,8,1,575.82,18,0,0,31.99,4
10_HORNSEY_3945,8,10,1,830.4,60,125.93,7,13.84,2
10_HORNSEY_3947,5,6,1,836.16,24,193.96,4,34.84,1
10_HORNSEY_39470,18,12,0,231.84,72,62.9,10,3.22,-6
10_HORNSEY_39479,16,0,1,1671.64,316,219.78,22,5.29,-16
10_HORNSEY_39491,14,1,1,291.6,36,83.94,6,8.1,-13
10_HORNSEY_3951,33,102,0,658.8,360,77.19,31,1.83,69
10_HORNSEY_39517,11,15,0,734.04,36,92.97,3,20.39,4
10_HORNSEY_39518,8,8,1,227.22,14,124.95,5,16.23,0
10_HORNSEY_39523,5,6,1,186.36,12,47.98,2,15.53,1
10_HORNSEY_3959,9,11,0,1094.4,60,164.94,6,18.24,2
10_HORNSEY_39593,18,6,1,392.46,62,109.89,11,6.33,-12
10_HORNSEY_39599,4,14,0,288.64,64,31.96,4,4.51,10
10_HORNSEY_3960,28,16,0,5169.36,543,1494.92,108,9.52,-12
10_HORNSEY_3961,52,7,1,417.91,23,143.94,6,18.17,-45
10_HORNSEY_39648,6,7,1,316.05,35,63.96,4,9.03,1
10_HORNSEY_39654,6,9,1,405,60,129.87,13,6.75,3
10_HORNSEY_3967,22,14,0,2728.32,232,360.81,19,11.76,-8
10_HORNSEY_39689,11,0,1,,,0,0,,-11
10_HORNSEY_3969,10,2,1,880.2,60,239.88,12,14.67,-8
10_HORNSEY_39691,10,3,1,165.48,12,43.98,2,13.79,-7
10_HORNSEY_3970,6,10,1,2840.82,419,613.14,66,6.78,4
10_HORNSEY_39708,13,15,0,556.96,118,120.88,12,4.72,2
10_HORNSEY_39716,15,23,0,259.2,48,125.44,16,5.4,8
10_HORNSEY_39717,9,25,0,578.2,118,323.71,29,4.9,16
10_HORNSEY_39750,29,15,0,589.95,115,120.55,13,5.13,-14
10_HORNSEY_39775,15,9,1,689.12,118,137.85,15,5.84,-6
10_HORNSEY_3979,0,5,1,1984.94,122,0,0,16.27,5
10_HORNSEY_3980,19,6,1,7293.72,228,1119.72,28,31.99,-13
10_HORNSEY_3981,11,12,0,2932.81,313,923.23,77,9.37,1
10_HORNSEY_3982,24,50,0,6427.86,447,1290.44,56,14.38,26
10_HORNSEY_3983,0,5,1,281.16,12,0,0,23.43,5
10_HORNSEY_3984,12,0,1,581.4,18,86.98,2,32.3,-12
10_HORNSEY_3989,14,31,0,1717.92,144,75.96,4,11.93,17
10_HORNSEY_39923,13,21,0,235.8,36,69.93,7,6.55,8
10_HORNSEY_3996,0,25,0,1482.84,108,0,0,13.73,25
10_HORNSEY_3997,62,55,0,9020.1,642,2632.71,129,14.05,-7
10_HORNSEY_39974,16,16,0,111.12,12,0,0,9.26,0
10_HORNSEY_39979,5,8,1,94.08,12,11.99,1,7.84,3
10_HORNSEY_3998,9,8,1,1294.85,95,94.94,6,13.63,-1
10_HORNSEY_39981,4,7,1,47.94,6,0,0,7.99,3
10_HORNSEY_39983,8,7,1,94.68,12,35.97,3,7.89,-1
10_HORNSEY_3999,11,12,0,1306.26,82,309.87,13,15.93,1
10_HORNSEY_40051,20,13,0,154.36,34,55.93,7,4.54,-7
10_HORNSEY_40053,15,14,0,287.52,48,73.92,8,5.99,-1
10_HORNSEY_40054,22,23,0,359.04,48,25.98,2,7.48,1
10_HORNSEY_40055,8,8,1,252.48,24,34.98,2,10.52,0
10_HORNSEY_4007,0,5,1,385.56,18,0,0,21.42,5
10_HORNSEY_40096,16,14,0,1904.12,181,590.71,29,10.52,-2
10_HORNSEY_40097,25,11,0,2372.16,224,569.74,26,10.59,-14
10_HORNSEY_40098,13,15,0,1941.06,187,449.78,22,10.38,2
10_HORNSEY_40106,0,18,0,301.92,24,0,0,12.58,18
10_HORNSEY_4012,8,3,1,,,0,0,,-5
10_HORNSEY_40175,8,3,1,894.89,109,155.87,13,8.21,-5
10_HORNSEY_4018,6,3,1,343.98,13,187.95,5,26.46,-3
10_HORNSEY_40193,65,54,0,850.08,176,120.88,12,4.83,-11
10_HORNSEY_40219,3,9,1,168.75,25,120.89,11,6.75,6
10_HORNSEY_4025,148,67,0,324.69,237,109.19,61,1.37,-81
10_HORNSEY_4029,9,5,1,,,27.99,1,,-4
10_HORNSEY_40332,16,19,0,295.56,36,77.94,6,8.21,3
10_HORNSEY_40337,21,65,0,1412.55,215,499.51,49,6.57,44
10_HORNSEY_40338,0,4,1,104.64,6,0,0,17.44,4
10_HORNSEY_4034,8,8,1,159.96,6,35.99,1,26.66,0
10_HORNSEY_4040,6,3,1,215.76,12,109.96,4,17.98,-3
10_HORNSEY_40425,31,60,0,2645.04,412,519.5,38,6.42,29
10_HORNSEY_40456,13,6,1,111.96,12,41.97,3,9.33,-7
10_HORNSEY_40483,0,28,0,867,85,284.81,19,10.2,28
10_HORNSEY_4050,3,13,0,1935.84,222,355.72,28,8.72,10
10_HORNSEY_4053,0,38,0,1179.98,82,0,0,14.39,38
10_HORNSEY_4054,13,12,0,526.96,56,74.94,6,9.41,-1
10_HORNSEY_40545,40,31,0,1082.37,109,179.88,12,9.93,-9
10_HORNSEY_40559,11,14,0,173.52,24,54.95,5,7.23,3
10_HORNSEY_4062,22,16,0,209.88,36,32.96,4,5.83,-6
10_HORNSEY_40621,3,5,1,368.2,35,255.84,16,10.52,2
10_HORNSEY_4064,8,7,1,1900.82,202,376.71,29,9.41,-1
10_HORNSEY_4066,68,19,0,2544.3,198,1337.31,69,12.85,-49
10_HORNSEY_40667,0,7,1,103.2,12,0,0,8.6,7
10_HORNSEY_4075,10,8,1,1983.75,125,479.8,20,15.87,-2
10_HORNSEY_408,15,49,0,1776.89,137,377.79,21,12.97,34
10_HORNSEY_40801,15,17,0,337.18,46,10.99,1,7.33,2
10_HORNSEY_4089,18,7,1,3209.8,220,1106.49,51,14.59,-11
10_HORNSEY_4091,6,6,1,347.2,16,29.99,1,21.7,0
10_HORNSEY_4092,0,7,1,525.93,47,0,0,11.19,7
10_HORNSEY_40965,11,5,1,,,0,0,,-6
10_HORNSEY_4102,0,17,0,1770.66,162,0,0,10.93,17
10_HORNSEY_4103,22,14,0,2540.13,227,494.67,33,11.19,-8
10_HORNSEY_41030,7,5,1,264.72,24,84.95,5,11.03,-2
10_HORNSEY_41033,47,48,0,496.44,84,92.91,9,5.91,1
10_HORNSEY_41034,59,104,0,3576.8,680,624.31,61,5.26,45
10_HORNSEY_41065,10,5,1,,,18.99,1,,-5
10_HORNSEY_41070,65,30,0,,,64.95,5,,-35
10_HORNSEY_41072,85,10,1,767.04,94,75.95,5,8.16,-75
10_HORNSEY_4111,0,37,0,356.29,451,0,0,0.79,37
10_HORNSEY_4113,90,112,0,2353.94,3181,426.69,431,0.74,22
10_HORNSEY_41143,79,26,0,263,50,151.18,18,5.26,-53
10_HORNSEY_41159,73,32,0,547.4,34,337.87,13,16.1,-41
10_HORNSEY_41170,0,13,0,281.96,106,0,0,2.66,13
10_HORNSEY_4121,6,3,1,133.26,6,55.98,2,22.21,-3
10_HORNSEY_41212,12,53,0,1030.96,98,136.44,12,10.52,41
10_HORNSEY_41213,13,78,0,1991.55,165,201.34,14,12.07,65
10_HORNSEY_4124,0,0,1,257.04,357,0,0,0.72,0
10_HORNSEY_4125,0,63,0,344.84,466,0,0,0.74,63
10_HORNSEY_41251,37,35,0,823.77,243,69.9,10,3.39,-2
10_HORNSEY_41252,30,17,0,1123.47,219,248.76,24,5.13,-13
10_HORNSEY_41253,55,46,0,1522.5,250,644.88,64,6.09,-9
10_HORNSEY_41254,56,11,0,620.1,106,483.99,45,5.85,-45
10_HORNSEY_4126,0,0,1,293.92,16,0,0,18.37,0
10_HORNSEY_4130,0,12,0,1770.6,260,586.39,61,6.81,12
10_HORNSEY_41321,60,57,0,1290.92,118,299.69,15,10.94,-3
10_HORNSEY_4135,175,191,0,3393,4350,755.37,763,0.78,16
10_HORNSEY_41377,3,12,0,141.12,24,49.95,5,5.88,9
10_HORNSEY_4140,13,8,1,1591.25,335,383.36,64,4.75,-5
10_HORNSEY_41409,18,11,0,148.92,12,0,0,12.41,-7
10_HORNSEY_4141,0,177,0,336.54,474,0,0,0.71,177
10_HORNSEY_41412,15,13,0,205.25,25,59.95,5,8.21,-2
10_HORNSEY_4145,11,9,1,2903.72,229,322.81,19,12.68,-2
10_HORNSEY_4147,9,7,1,345.24,12,119.97,3,28.77,-2
10_HORNSEY_4149,87,163,0,1600.8,1380,433.59,291,1.16,76
10_HORNSEY_415,45,4,1,5985.36,459,1679.2,80,13.04,-41
10_HORNSEY_4152,33,19,0,1728.75,461,478.19,81,3.75,-14
10_HORNSEY_4153,8,8,1,2877,300,491.6,40,9.59,0
